emmi_cd,active,emmi_nm,emmi_nm_mxd,emmi_flnm,overlay_flnm,emmi_brnd_cd,last_trckd_sctn,shell,available,tpc_id,emmi_tp_cd,emmi_src_cd,last_chng_dt,create_dt
-1,true,"ARTICLE STRESS TEST","ARTICLE STRESS TEST",stressTest,NULL,1,NULL,false,true,stressTest,4,1,"2014-04-28 15:27:53.877","2013-05-08 14:41:28.090"
1,true,"(TEST) SHORT ACL","(TEST) SHORT ACL",shortacl,NULL,1,5,false,false,NULL,1,1,"2014-04-28 15:27:53.877","2005-11-10 10:00:24.003"
2,true,"(TEST) LONG ACL","(TEST) LONG ACL",longacl,NULL,1,12,false,false,NULL,1,1,"2014-04-28 15:27:53.877","2005-11-10 10:00:47.300"
3,true,"(TEST) TINY ACL","(TEST) TINY ACL",tinyacl,NULL,1,2,false,true,NULL,1,1,"2014-04-28 15:27:53.877","2005-11-29 11:09:26.577"
4,true,"(TEST) GIANT ACL","(TEST) GIANT ACL",giantacl,NULL,1,15,false,true,NULL,1,1,"2014-04-28 15:27:53.877","2005-11-29 11:10:08.233"
5,true,ASD,ASD,asd,asd,7,5,true,true,sad,1,4,"2014-04-28 15:27:53.877","2009-05-11 16:28:50.260"
6,true,"(TEST) LUMBAR MICRODISCECTOMY WITH SHORT INTRODUCTION","(TEST) LUMBAR MICRODISCECTOMY WITH SHORT INTRODUCTION",microdisc_short,NULL,6,8,false,true,NULL,1,1,"2014-04-28 15:27:53.877","2008-05-13 15:10:44.413"
7,true,"(TEST) TEST SHELL","(TEST) TEST SHELL",testshell,NULL,1,2,true,true,NULL,1,1,"2014-04-28 15:27:53.877","2008-05-07 12:19:46.840"
8,true,"(TEST) BIRTH_SHELL","(TEST) BIRTH_SHELL",birth_shell,NULL,6,2,true,true,NULL,1,1,"2014-04-28 15:27:53.877","2008-05-07 12:19:46.840"
9,true,"(TEST) OB_ANESTH_SHELL","(TEST) OB_ANESTH_SHELL",ob_anesth_shell,NULL,6,4,true,true,NULL,1,1,"2014-04-28 15:27:53.877","2008-05-07 12:19:46.840"
10,true,"CORONARY ARTERY BYPASS SURGERY","Coronary Artery Bypass Surgery",cabg,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.490","2004-09-10 10:05:08.530"
11,true,"(TEST) ATRIAL FIBRILLATION: ABOUT","(TEST) ATRIAL FIBRILLATION: ABOUT",shell_reuse_test,shell-reuse-test-hwcond_atrial_fibrillation,1,2,true,true,zx,1,1,"2014-04-28 15:27:53.877","2009-05-11 16:28:50.260"
12,true,"(TEST) SELF HELP: CHECKING BP AT HOME","(TEST) SELF HELP: CHECKING BP AT HOME",shell_reuse_test2,shell-reuse-test-hwaction_check_bp_home,1,2,true,true,NULL,1,1,"2014-04-28 15:27:53.877","2009-05-11 16:28:50.263"
13,true,"(TEST) CARDIAC REHAB: AFTER VISIT INSTRUCTIONS","(TEST) CARDIAC REHAB: AFTER VISIT INSTRUCTIONS",shell_reuse_test,shell-reuse-test-cardiac_rehab,1,2,true,true,NULL,1,1,"2014-04-28 15:27:53.877","2009-05-11 16:28:50.263"
14,true,"(TEST) LOW HDL: AFTER VISIT INSTRUCTIONS","(TEST) LOW HDL: AFTER VISIT INSTRUCTIONS",shell_reuse_test,shell-reuse-test-low_hdl,1,2,true,true,NULL,1,1,"2014-04-28 15:27:53.877","2009-05-11 16:28:50.263"
15,true,"(TEST) DECISION POINT: STATINS FOR HIGH CHOLESTEROL","(TEST) DECISION POINT: STATINS FOR HIGH CHOLESTEROL",shell_reuse_test,shell-reuse-test-hwdecide_statins_cholesterol,1,2,true,true,NULL,1,1,"2014-04-28 15:27:53.877","2009-05-11 16:28:50.267"
16,true,"(TEST) DECISION POINT: TAKING DAILY ASPIRIN","(TEST) DECISION POINT: TAKING DAILY ASPIRIN",shell_reuse_test2,shell-reuse-test-hwdecide_daily_aspirin,1,2,true,true,NULL,1,1,"2014-04-28 15:27:53.877","2009-05-11 16:28:50.267"
17,true,"(TEST) TEMPLATE TESTING","(TEST) TEMPLATE TESTING",template_testing,NULL,1,8,false,true,NULL,1,1,"2014-04-28 15:27:53.877","2009-05-11 16:28:50.270"
18,true,"(TEST) A.D.A.M.","(TEST) A.D.A.M.",shell_adam,1234567890123456789012345678901234567890123456789a,1,2,true,true,asd,1,6,"2014-04-28 15:27:53.877","2009-05-11 16:28:50.267"
23,true,"CHOLECYSTECTOMY, LAPAROSCOPIC","Cholecystectomy, Laparoscopic",lap_chole,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
28,true,"GASTRIC BYPASS - OPEN","Gastric Bypass - Open",gastric_bypass,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
33,true,"LASIK EYE SURGERY","LASIK Eye Surgery",lasik,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
34,true,"THIRD MOLAR EXTRACTION","Third Molar Extraction",3rd_molar,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
35,true,"HYSTERECTOMY (ABDOMINAL)","Hysterectomy (Abdominal)",abhyst,NULL,6,8,false,true,NULL,1,1,"2015-01-30 14:04:35.787","2004-09-10 10:05:08.530"
36,true,"HYSTERECTOMY (VAGINAL/LAVH)","Hysterectomy (Vaginal/LAVH)",vaghyst,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
37,true,"DENTAL IMPLANTS","Dental Implants",implants1,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
38,true,"BONE GRAFT/SINUS LIFT","Bone Graft/Sinus Lift",bonegraft,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
39,true,"TUBAL LIGATION, POSTPARTUM","Tubal Ligation, Postpartum",pptubal,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
40,true,LIPOSUCTION,Liposuction,lipo,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
41,true,COLONOSCOPY,Colonoscopy,colonoscopy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
42,true,FACELIFT,Facelift,facelift,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.500","2004-09-10 10:05:08.530"
43,true,"BREAST AUGMENTATION WITH SALINE-FILLED IMPLANTS","Breast Augmentation with Saline-filled Implants",breastaug,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.503","2004-09-10 10:05:08.530"
44,true,C-SECTION,C-section,c-section,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.503","2004-09-10 10:05:08.530"
45,true,"TUBAL LIGATION, INTERVAL","Tubal Ligation, Interval",inttubal,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.503","2004-09-10 10:05:08.530"
46,true,LAPAROSCOPY,Laparoscopy,laparoscopy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.503","2004-09-10 10:05:08.530"
47,true,"TOTAL KNEE REPLACEMENT","Total Knee Replacement",tkr,NULL,6,7,false,true,NULL,1,1,"2014-04-17 16:44:22.503","2004-09-10 10:05:08.530"
48,true,"KNEE ARTHROSCOPY","Knee Arthroscopy",knee_arth,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.503","2004-09-10 10:05:08.530"
49,true,CHILDBIRTH,Childbirth,birth,NULL,6,8,false,true,NULL,1,1,"2015-01-30 14:04:35.790","2004-09-10 10:05:08.530"
50,true,"ACL RECONSTRUCTION","ACL Reconstruction",acl,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.503","2004-09-10 10:05:08.530"
51,true,"TOTAL HIP REPLACEMENT","Total Hip Replacement",thr,NULL,6,7,false,true,NULL,1,1,"2014-04-17 16:44:22.503","2004-09-10 10:05:08.530"
52,true,"LUMBAR MICRODISCECTOMY","Lumbar Microdiscectomy",microdisc,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.513","2004-09-10 10:05:08.530"
53,true,"SHOULDER ARTHROSCOPY","Shoulder Arthroscopy",shoulder_arth,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.513","2004-09-10 10:05:08.530"
54,true,"LUMBAR INTERBODY FUSION, POSTERIOR OR TRANSFORAMINAL","Lumbar Interbody Fusion, Posterior or Transforaminal",plif,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.517","2004-09-10 10:05:08.530"
56,true,"ANTERIOR CERVICAL DISCECTOMY AND FUSION","Anterior Cervical Discectomy and Fusion",acdf,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.517","2004-09-10 10:05:08.530"
58,true,"LUMBAR LAMINECTOMY","Lumbar Laminectomy",laminectomy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.517","2004-09-10 10:47:17.983"
59,true,"ANGIOGRAM WITH POSSIBLE ANGIOPLASTY","Angiogram with Possible Angioplasty",angioplasty,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.517","2004-09-24 15:59:44.940"
60,true,"BREAST BIOPSY FOR DIAGNOSIS","Breast Biopsy for Diagnosis",breast_biopsy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.517","2004-10-14 09:18:09.150"
61,true,"INGUINAL HERNIA","Inguinal Hernia",inguinal_hernia,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.517","2004-10-22 11:17:51.860"
62,false,"HPV TEST","HPV Test",digene,NULL,6,8,false,true,NULL,1,1,"2014-05-07 15:33:34.810","2004-11-11 14:19:36.830"
63,true,"LAP-BAND SURGERY","LAP-BAND Surgery",lapband,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2004-12-01 16:54:42.000"
64,true,PRE-SURGICAL/PROCEDURE,Pre-Surgical/Procedure,gen_hospital,NULL,6,8,false,true,NULL,1,1,"2014-10-14 09:34:34.060","2005-01-11 10:56:32.443"
65,true,COLECTOMY,Colectomy,colectomy,,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-01-12 15:36:54.700"
66,true,"CATARACT SURGERY","Cataract Surgery",cataracts,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-01-20 11:34:43.593"
67,true,"CARPAL TUNNEL RELEASE","Carpal Tunnel Release",carpal_tunnel,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-02-22 16:19:48.213"
68,true,"PEDIATRIC TONSILLECTOMY WITH POSSIBLE ADENOIDECTOMY","Pediatric Tonsillectomy with Possible Adenoidectomy",tonsillectomy,NULL,5,8,false,true,NULL,1,1,"2014-05-06 10:17:10.933","2005-03-02 14:29:19.000"
69,true,"PEDIATRIC MYRINGOTOMY","Pediatric Myringotomy",myringotomy,NULL,5,8,false,true,NULL,1,1,"2014-05-06 10:17:10.950","2005-03-09 13:06:29.680"
70,false,"CME COLONOSCOPY","CME Colonoscopy",cmecolonoscopy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-04-07 12:41:41.180"
