surrogate_key,emmi_cd,specialty_cd,active,create_dt,last_chng_dt
1,602,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
2,602,6,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
3,118,33,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
4,335,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
5,335,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
6,335,19,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
7,335,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
8,335,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
9,122,13,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
10,50,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
11,336,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
12,336,4,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
13,336,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
14,336,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
15,337,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
16,337,19,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
17,337,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
18,749,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
19,749,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
20,111,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
21,111,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
22,111,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
23,646,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
24,646,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
25,338,26,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
26,450,19,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
27,450,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
28,753,11,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
29,753,26,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
30,339,9,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
31,339,18,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
32,647,33,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
33,318,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
34,318,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
35,319,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
36,319,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
37,595,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
38,595,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
39,596,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
40,596,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
41,720,4,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
42,76,3,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
43,76,37,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
44,95,3,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
45,95,12,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
46,648,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
47,648,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
48,649,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
49,649,18,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
50,649,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
51,649,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
52,171,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
53,59,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
